n,t,GrossOutput,Expenditure,IntermediateUse,FinalExpenditure,ValueAdded,Deficit,GrossOutputManuf,ExpenditureManuf,IntermediateUseManuf,FinalExpenditureManuf,ValueAddedManuf,DeficitManuf,α,β
FRA,2008,5.25179144320003e6,5.263834894055608e6,2.5070301448685913e6,2.7568047491870266e6,2.744761298331439e6,-12043.45085558761,1.0892774216000063e6,1.1191020562406392e6,670830.9774780368,448271.07876260683,418446.4441219695,29824.634640632896,0.16260530561506056,0.38415047978073974
FRA,2009,4.721921050000014e6,4.731333741017258e6,2.1885252617018414e6,2.5428084793154355e6,2.5333957882981724e6,-9412.691017263103,861530.3003999963,898103.6603782512,550057.2536656602,348046.4067125923,311473.0467343362,36573.359978254884,0.13687480183576073,0.361534639686757
FRA,2010,4.696735033799975e6,4.714216060109931e6,2.2108264977522753e6,2.503389562357638e6,2.4859085360477e6,-17481.02630993817,879014.6649000046,918458.6787764588,579935.0439976798,338523.63477878564,299079.6209023248,39444.013876454206,0.1352261109772989,0.3402441766274146
FRA,2011,5.130046176000052e6,5.168394025232261e6,2.444274682346686e6,2.724119342885604e6,2.6857714936533663e6,-38347.849232237786,996538.3680000006,1.0605638702627148e6,664008.6394691109,396555.2307936038,332529.7285308897,64025.5022627142,0.14557190081604168,0.33368482259068377
FRA,2012,4.806515172799965e6,4.832668111526621e6,2.2914008884870345e6,2.5412672230395977e6,2.515114284312931e6,-26152.93872666685,909216.9856000016,958115.9676823108,608801.4826786978,349314.4850036136,300415.50292130385,48898.9820823092,0.13745680967222335,0.3304112304094897
FRA,2013,5.004462749700029e6,5.025425905462952e6,2.3711521240765103e6,2.6542737813864504e6,2.633310625623519e6,-20963.155762931332,929027.1995999968,977779.0877470117,620889.0564771661,356890.0312698437,308138.14312283066,48751.88814701489,0.13445863564361604,0.3316782794470421
FRA,2014,5.020134478322402e6,5.036818585212153e6,2.3710025339777768e6,2.6658160512343957e6,2.649131944344625e6,-16684.106889770832,919636.2174633949,968017.548335114,613067.9291934749,354949.61914163927,306568.2882699199,48381.33087171917,0.13314857901665092,0.3333582153990391
GBR,2000,2.7536969480100037e6,2.751533852776818e6,1.2804341604785335e6,1.4710996922982836e6,1.4732627875314702e6,2163.0952331866138,564356.7864000028,582276.843205665,308591.2437577939,273685.599447869,255765.54264220886,17920.05680566223,0.18604150410791867,0.45319831143295275
GBR,2001,2.733398310159988e6,2.735526119958013e6,1.278313371212501e6,1.4572127487455057e6,1.4550849389474867e6,-2127.809798019007,533143.7500400034,559080.4052489164,296920.94335582823,262159.4618930876,236222.80668417522,25936.65520891291,0.17990472710232397,0.4430752619091018
GBR,2002,2.9823115391399935e6,2.9914658220628705e6,1.3870675064305305e6,1.6043983156323603e6,1.595244032709463e6,-9154.282922897255,553469.524200001,586799.1181013457,311560.73987494194,275238.3782264031,241908.7843250591,33329.59390134469,0.17155239789560622,0.4370769730722215
GBR,2003,3.407164601520017e6,3.409493713103372e6,1.5636504382925488e6,1.8458432748108148e6,1.843514163227468e6,-2329.111583346734,596401.2254400029,632764.5985880819,333344.9394679774,299419.65912010474,263056.2859720255,36363.37314807903,0.1622129371470029,0.441072678510934
GBR,2004,4.026986988600003e6,4.037522458253864e6,1.8488431441559906e6,2.1886793140978664e6,2.1781438444440123e6,-10535.469653854147,681021.1085999975,732075.007196597,386951.7056205055,345123.3015760893,294069.402979492,51053.89859659958,0.15768564145192865,0.4318065905240768
GBR,2005,4.176743964000022e6,4.1863828920393432e6,1.881642160731529e6,2.3047407313078265e6,2.295101803268493e6,-9638.928039333317,699408.6024000046,753505.5707026294,391404.5372666808,362101.0334359462,308004.06513332383,54096.968302624766,0.15711139587942796,0.4403778622058907
GBR,2006,4.576033407749993e6,4.582750561257243e6,2.114742791060015e6,2.468007770197258e6,2.4612906166899777e6,-6717.1535072801635,744273.2669700035,806190.6361866444,423221.51456353423,382969.1216231058,321051.75240646926,61917.369216640946,0.15517338569501204,0.43136273550909177
GBR,2007,5.289599534400028e6,5.29814303791905e6,2.466954793844322e6,2.831188244074727e6,2.822644740555706e6,-8543.503519020975,826934.0415999978,916407.7843578486,484700.442300371,431707.34205747955,342233.5992996268,89473.74275785079,0.15248274040448614,0.4138583999244417
GBR,2008,5.038019967320011e6,5.048178732006517e6,2.351890052511492e6,2.696288679495042e6,2.686129914808519e6,-10158.764686523005,775065.7392799914,844332.7543002709,447299.27728658466,397033.47701368463,327766.4619934067,69267.01502027956,0.14725184288799545,0.4228885956149863
GBR,2009,4.1883523254399914e6,4.194521261581948e6,1.9725253777115722e6,2.2219958838704033e6,2.215826947728419e6,-6168.936141984072,617686.4291200005,703327.9814565923,409390.1198450279,293937.86161156086,208296.30927497253,85641.55233659188,0.13228551130327146,0.3372201483716036
GBR,2010,4.275965107080013e6,4.298423496173248e6,2.005086029741895e6,2.293337466431339e6,2.2708790773381176e6,-22458.389093221165,641490.3156600057,772097.6644015175,472299.3017810037,299798.3626205126,169191.01387900196,130607.34874151181,0.13072579461540332,0.2637467935972308
GBR,2011,4.597391308399964e6,4.599361164318587e6,2.157792640169437e6,2.4415685241491315e6,2.439598668230527e6,-1969.855918604415,705296.9555999996,831096.9700629279,507652.65818343067,323444.31187949533,197644.29741656897,125800.01446292829,0.13247398493237592,0.28022848510445075
GBR,2012,4.659264137440007e6,4.673378474066293e6,2.177901398391513e6,2.495477075674782e6,2.481362739048494e6,-14114.336626288015,715677.1023299953,855758.12767381,522198.2718455294,333559.8558282804,193478.83048446587,140081.02534381475,0.1336657663898135,0.27034374839514386
GBR,2013,4.808146665330045e6,4.826592523496608e6,2.260616999311344e6,2.565975524185268e6,2.5475296660187007e6,-18445.858166567516,744459.3073799951,907691.428116537,543755.0564620468,363936.37165448925,200704.25091794832,163232.12073654192,0.14183158343649593,0.2695973425657
GBR,2014,5.283463351344728e6,5.301966837170477e6,2.4770104113492104e6,2.824956425821282e6,2.8064529399955175e6,-18503.48582576448,798433.762812395,982550.5510859714,590865.0365689545,391685.5145170175,207568.72624344053,184116.7882735764,0.1386518782862802,0.2599698759134415
GRC,2000,216384.62617943145,240937.23079513485,94367.64518199228,146569.58561314194,122016.98099743917,-24552.604615702774,39652.535392562735,61196.17998457708,22793.054193363543,38403.12579121354,16859.481199199192,21543.644592014345,0.2620129246498339,0.4251804085738581
